"Reference","Value","Qty","Datasheet","Footprint","DNP"
"C1,C6,C9,C11","10uF","4","~","CL21A106KOQNNNE:CAP_CL21_SAM",""
"C2","4.7uF/10V","1","~","CL10A475KP8NNNC:CAP_0603_CL10A_1P6XP8_SAM",""
"C3,C4,C5,C8","0.1uF","4","~","CL10B104KB8NNNC:CAP_CL10_SAM",""
"C7","4.7uF","1","~","CL10A475KP8NNNC:CAP_0603_CL10A_1P6XP8_SAM",""
"C10","120pF","1","~","GRM0335C1H121JA01D:G-033_MUR",""
"J1","B2B-PH-K-S","1","","B2B-PH-K-S:CONN2_B2B-PH-K-S_JST",""
"Kailh_Switch1","Left","1","","Kailh_Switch:Kailh_Switch",""
"Kailh_Switch2","Right","1","","Kailh_Switch:Kailh_Switch",""
"Kailh_Switch3","Thumb1","1","","Kailh_Switch:Kailh_Switch",""
"Kailh_Switch4","Thumb2","1","","Kailh_Switch:Kailh_Switch",""
"L1","470nH","1","~","CIGT201610EHR47MNE:RES_CIGT201610",""
"NRF52840_ProMicro1","nrf52840","1","","nrf52840_promicro:nrf52840_promicro",""
"PMW3389DM-T3QU1","pmw3389","1","","pmw3389dm-t3qu:pmw3389dm-t3qu",""
"R1","10k","1","~","RC1005F103CS:RES_1005_SAM",""
"R2","13","1","~","RC0805FR_0713RL:RC0805N_YAG",""
"R5","CRGCQ1206F330K","1","CRGCQ1206F330K","RES_CRGCQ1206F330K_TEC",""
"SW1","Power","1","EG1218","SW_1218_EWI",""
"SW2","Signal","1","EG1218","SW_1218_EWI",""
"SW3","Scroll_Button","1","1825910-6","1825910-6:SW4_1825910-B_TEC",""
"SW4","DPI_Button","1","1825910-6","1825910-6:SW4_1825910-B_TEC",""
"U1","TPS62821DLCR","1","TPS62821DLCR","TPS62821DLCR:TPS62821DLCR",""
"U2","TTC_Gold_Encoder","1","","TTC_Gold_Encoder:TTC_Gold_Encoder",""
